ID_Cliente,Idade,Gênero,Renda_Anual,Frequência_Compra,Ticket_Médio,Pontuação_Fidelidade
99,46,Masculino,100135,4,196,15
100,32,Feminino,39508,3,286,64
101,62,Feminino,23051,10,360,89
102,18,Masculino,68747,5,301,28
103,42,Masculino,107142,5,82,74
104,24,Feminino,107235,3,236,39
105,26,Masculino,74021,12,361,57
106,41,Masculino,86412,9,334,17
107,18,Feminino,78335,4,302,86
108,61,Masculino,76179,11,196,90
109,25,Masculino,52093,5,480,44
110,41,Feminino,89678,4,436,25
111,28,Feminino,100738,5,117,17
112,68,Masculino,59734,7,124,13
113,34,Masculino,92615,9,118,84
114,25,Feminino,93523,7,404,25
115,52,Feminino,114476,13,424,68
116,52,Feminino,37019,5,330,10
117,50,Feminino,103613,10,25,67
118,22,Masculino,111794,10,495,18
119,59,Feminino,106672,7,484,100
120,56,Feminino,93847,14,216,86
121,58,Masculino,102750,10,370,34
122,45,Feminino,99634,5,152,8
123,24,Masculino,48251,3,377,40
124,26,Feminino,45945,7,278,83
125,25,Feminino,110852,13,456,42
126,29,Feminino,52217,11,42,41
127,51,Masculino,28308,11,72,6
128,50,Masculino,25949,2,184,52
129,65,Feminino,71990,12,221,26
130,40,Masculino,21150,9,477,64
131,41,Masculino,109480,10,102,98
132,54,Masculino,94740,10,164,59
133,52,Masculino,86617,12,104,56
134,61,Masculino,114841,1,97,59
135,57,Masculino,36896,13,476,70
136,39,Feminino,66175,6,385,33
137,44,Feminino,27805,7,20,53
138,52,Masculino,25237,14,70,22
139,18,Feminino,40056,13,192,21
140,52,Feminino,65543,8,224,70
141,54,Feminino,76556,10,279,70
142,64,Feminino,23343,9,465,4
143,31,Masculino,33500,2,468,94
144,20,Feminino,73222,11,388,75
145,18,Feminino,49375,10,307,62
146,22,Masculino,29662,2,53,62
147,43,Masculino,36964,5,367,94
148,31,Feminino,79638,13,114,95
149,56,Feminino,93666,5,91,24
150,44,Feminino,105067,6,58,55
151,26,Feminino,87215,3,173,9
152,32,Feminino,89042,8,269,3
153,32,Feminino,33284,13,181,31
154,43,Masculino,92789,1,457,40
155,59,Feminino,104664,6,137,36
156,30,Feminino,113468,4,278,24
157,68,Masculino,81389,1,398,95
158,49,Masculino,29435,7,325,6
159,56,Masculino,74340,9,287,66
160,66,Masculino,64078,13,468,84
161,69,Feminino,98832,4,73,92
162,49,Feminino,71293,4,255,75
163,21,Feminino,115981,6,408,4
164,47,Feminino,98781,12,497,79
165,54,Feminino,80403,3,241,6
166,40,Feminino,49124,13,270,94
167,56,Masculino,115435,12,332,51
168,62,Feminino,63919,6,420,62
169,32,Masculino,55247,7,131,57
170,60,Masculino,114758,11,274,66
171,46,Feminino,111747,10,322,79
172,53,Masculino,82752,10,426,75
173,30,Feminino,76573,3,226,8
174,49,Masculino,79101,7,248,26
175,24,Feminino,46646,14,360,51
176,68,Masculino,43049,3,417,45
177,39,Feminino,99605,13,85,44
178,45,Feminino,118116,13,94,5
179,19,Feminino,117379,2,454,70
180,59,Feminino,88385,12,122,26
181,62,Feminino,60158,14,441,68
182,23,Masculino,85417,10,211,19
183,45,Masculino,43289,4,271,84
184,45,Masculino,29823,12,245,97
185,61,Feminino,80160,8,313,20
186,61,Masculino,61975,13,325,12
187,37,Feminino,29540,9,117,47
188,47,Feminino,36364,7,357,1
189,28,Masculino,24611,1,305,90
190,45,Masculino,47663,3,354,14
191,42,Feminino,71991,13,366,64
192,56,Masculino,77679,12,454,38
193,50,Feminino,50977,14,466,37
194,18,Feminino,114704,9,327,11
195,44,Feminino,69115,12,268,100
196,69,Feminino,111007,1,185,77
197,30,Feminino,108223,9,491,3
198,58,Masculino,80890,8,354,33
199,20,Masculino,86387,1,49,6
200,56,Feminino,38071,6,266,50
